# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +1.80836e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.86330e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.91990e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.97822e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.03832e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.10024e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.16404e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.22978e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.29752e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.36732e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.43923e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.51333e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.58968e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.66835e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.74941e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.83294e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.91900e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.00767e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.09904e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.19319e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.29019e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
